t_tot,P_tot,T_gf_tot,T_gb_tot,sL_tot,r_tot,rho_gb_tot,rho_gf_tot,masse_gb_tot,masse_gf_tot,masse_total
0,1955572.5,572.47,2813.7541,0.6334878145780007,0.001,2.5249481692448503,14.092597367007146,7.457303201581212e-08,0.007378807695430942,0.007378882268462958
1e-05,1955574.1796382586,572.4701411877878,2813.7541,0.6334878145780007,0.001035357116698451,2.524950337919009,14.092605995470286,1.057647815892616e-08,0.0073788716919848,0.007378882268462958
2e-05,1955575.9801517106,572.4702923556828,2813.7542454234217,0.6334880681174704,0.0010707142246768086,2.5249525321645643,14.092615249318953,1.1738482829400885e-08,0.007378870529980129,0.007378882268462958
3.0000000000000004e-05,1955577.9057408515,572.4704538445994,2813.7544011263535,0.6334883394676453,0.001106071339296942,2.5249548786776015,14.092625150430141,1.2982625949705095e-08,0.007378869285837008,0.007378882268462958
4e-05,1955579.96060565,572.4706259954002,2813.754567459938,0.6334886292332431,0.0011414284610446446,2.52495738256578,14.092635720678219,1.431171396497369e-08,0.007378867956748993,0.007378882268462958
5e-05,1955582.1489461272,572.4708091489531,2813.754744775262,0.6334889380188845,0.0011767855904228205,2.524960048936869,14.092646981937667,1.5728552398098548e-08,0.00737886653991056,0.007378882268462958
6e-05,1955584.4749623605,572.4710036461324,2813.754933423422,0.6334892664292043,0.0012121427279514782,2.524962882898698,14.092658956083083,1.7235946835651047e-08,0.007378865032516123,0.007378882268462958
7.000000000000001e-05,1955586.942854487,572.4712098278183,2813.7551337555165,0.6334896150688518,0.001247499874167731,2.5249658895591622,14.09267166498922,1.883670293207653e-08,0.007378863431760026,0.007378882268462958
8e-05,1955589.556822708,572.471428034898,2813.755346122653,0.6334899845424907,0.0012828570296257971,2.5249690740262265,14.092685130530946,2.0533626414023167e-08,0.0073788617348365445,0.007378882268462958
9e-05,1955592.3210672918,572.4716586082662,2813.755570875945,0.6334903754548022,0.0013182141948970005,2.5249724414079284,14.092699374583294,2.2329523084804713e-08,0.0073788599389398735,0.007378882268462958
0.0001,1955595.2397885784,572.4719018888246,2813.7558083665144,0.6334907884104847,0.001353571370569771,2.524975996812383,14.092714419021462,2.422719882899725e-08,0.0073788580412641296,0.007378882268462958
0.00011,1955598.3171869835,572.4721582174832,2813.7560589454897,0.6334912240142534,0.0013889285572496453,2.524979745347788,14.092730285720808,2.622945961716976e-08,0.007378856039003341,0.007378882268462958
0.00012,1955601.5574630029,572.4724279351603,2813.7563229640077,0.6334916828708436,0.001424285755559267,2.5249836921224285,14.092746996556885,2.8339111510748783e-08,0.007378853929351448,0.007378882268462958
0.00013000000000000002,1955604.9648172164,572.4727113827835,2813.7566007732153,0.6334921655850108,0.0014596429661383878,2.524987842244679,14.092764573405415,3.055896066701695e-08,0.007378851709502292,0.007378882268462958
0.00014000000000000001,1955608.5434502927,572.4730089012892,2813.7568927242673,0.6334926727615319,0.001495000189643867,2.5249922008230126,14.092783038142343,3.289181334424547e-08,0.007378849376649614,0.007378882268462958
0.00015000000000000001,1955612.2975629938,572.473320831624,2813.757199168328,0.6334932050052062,0.0015303574267496736,2.5249967729660034,14.092802412643813,3.534047590696067e-08,0.0073788469279870515,0.007378882268462958
0.00016,1955616.2313561798,572.4736475147449,2813.757520456573,0.6334937629208568,0.0015657146781468856,2.525001563782331,14.092822718786199,3.790775483134451e-08,0.007378844360708127,0.007378882268462958
0.00017,1955620.3490308134,572.4739892916195,2813.7578569401876,0.6334943471133311,0.0016010719445436919,2.5250065783807867,14.092843978446098,4.059645671076908e-08,0.007378841672006247,0.007378882268462958
0.00018,1955624.6547879651,572.474346503227,2813.7582089703683,0.6334949581875025,0.0016364292266653918,2.52501182187028,14.092866213500363,4.340938826146513e-08,0.007378838859074697,0.007378882268462958
0.00019,1955629.1528288187,572.474719490558,2813.758576898324,0.6334955967482724,0.0016717865252543966,2.525017299359842,14.092889445826108,4.6349356328324695e-08,0.00737883591910663,0.007378882268462958
0.0002,1955633.8473546752,572.4751085946158,2813.758961075275,0.6334962634005687,0.0017071438410702308,2.5250230159586327,14.092913697300707,4.941916789083771e-08,0.0073788328492950675,0.007378882268462958
0.00021,1955638.7425669595,572.4755141564167,2813.7593618524543,0.6334969587493513,0.0017425011748895315,2.5250289767759444,14.092938989801828,5.2621630069162815e-08,0.007378829646832889,0.007378882268462958
0.00022,1955643.8426672246,572.4759365169904,2813.7597795811093,0.6334976833996091,0.0017778585275060508,2.5250351869212113,14.092965345207423,5.5959550130331995e-08,0.007378826308912828,0.007378882268462958
0.00023,1955649.1518571582,572.4763760173806,2813.7602146125,0.6334984379563645,0.001813215899730656,2.525041651504012,14.092992785395756,5.9435735494589766e-08,0.0073788228327274635,0.007378882268462958
0.00024,1955654.6743385876,572.4768329986458,2813.7606672979023,0.633499223024673,0.0018485732923913306,2.5250483756340762,14.09302133224542,6.305299374186601e-08,0.007378819215469216,0.007378882268462958
0.00025,1955660.4143134854,572.4773078018596,2813.7611379886052,0.6335000392096253,0.0018839307063331751,2.525055364421294,14.093051007635339,6.68141326183833e-08,0.00737881545433034,0.007378882268462958
0.00026000000000000003,1955666.375983976,572.4778007681116,2813.761627035916,0.6335008871163487,0.0019192881424184088,2.525062622975718,14.093081833444785,7.072196004339832e-08,0.007378811546502915,0.007378882268462958
0.00027000000000000006,1955672.5635523407,572.4783122385077,2813.762134791155,0.6335017673500081,0.00195464560152637,2.5250701564075726,14.093113831553385,7.477928411607735e-08,0.007378807489178842,0.007378882268462958
0.0002800000000000001,1955678.9812210246,572.4788425541707,2813.762661605663,0.6335026805158082,0.001990003084553518,2.5250779698272594,14.093147023841173,7.89889131225062e-08,0.007378803279549836,0.007378882268462958
0.0002900000000000001,1955685.6331926421,572.4793920562414,2813.763207830796,0.6335036272189934,0.0020253605924134338,2.5250860683453635,14.093181432188546,8.335365554283415e-08,0.007378798914807415,0.007378882268462958
0.00030000000000000014,1955692.5236699837,572.4799610858792,2813.7637738179287,0.6335046080648519,0.002060718126036821,2.525094457072663,14.09321707847632,8.787632005855233e-08,0.0073787943921429,0.007378882268462958
0.00031000000000000016,1955699.6568560225,572.480549984262,2813.7643599184557,0.6335056236587149,0.002096075686371508,2.525103141120132,14.093253984585731,9.255971555990638e-08,0.007378789708747399,0.007378882268462958
0.0003200000000000002,1955707.0369539203,572.4811590925879,2813.76496648379,0.6335066746059598,0.002131433274382448,2.5251121255989517,14.093292172398463,9.74066511534432e-08,0.007378784861811804,0.007378882268462958
0.0003300000000000002,1955714.6681670346,572.481788752075,2813.7655938653656,0.6335077615120108,0.002166790891051722,2.5251214156205153,14.093331663796647,1.0241993616969246e-07,0.007378779848526789,0.007378882268462958
0.00034000000000000024,1955722.5546989252,572.4824393039627,2813.7662424146374,0.6335088849823405,0.002202148537378539,2.5251310162964344,14.093372480662888,1.0760238017098214e-07,0.007378774666082787,0.007378882268462958
0.00035000000000000027,1955730.7007533615,572.4831110895121,2813.766912483082,0.6335100456224722,0.0022375062143792377,2.5251409327385494,14.093414644880278,1.1295679295938857e-07,0.007378769311669999,0.007378882268462958
0.0003600000000000003,1955739.1105343287,572.4838044500071,2813.7676044221976,0.6335112440379812,0.0022728639230872884,2.5251511700589364,14.09345817833241,1.1848598458482102e-07,0.007378763782478374,0.007378882268462958
0.0003700000000000003,1955747.7882460358,572.4845197267547,2813.7683185835076,0.6335124808344973,0.0023082216645532944,2.5251617333699112,14.093503102903398,1.2419276535324072e-07,0.007378758075697605,0.007378882268462958
0.00038000000000000035,1955756.7380929224,572.4852572610856,2813.7690553185575,0.6335137566177051,0.0023435794398449935,2.525172627784044,14.093549440477904,1.3007994583501402e-07,0.0073787521885171235,0.007378882268462958
0.00039000000000000037,1955765.964279666,572.4860173943558,2813.7698149789185,0.6335150719933467,0.002378937250047259,2.525183858414161,14.093597212941136,1.3615033687340094e-07,0.007378746118126085,0.007378882268462958
0.0004000000000000004,1955775.47101119,572.4868004679466,2813.7705979161865,0.6335164275672234,0.002414295096262104,2.5251954303733557,14.093646442178876,1.424067495931772e-07,0.007378739861713365,0.007378882268462958
0.0004100000000000004,1955785.2624926704,572.4876068232655,2813.771404481985,0.633517823945198,0.0024496529796086794,2.525207348774996,14.09369715007751,1.4885199540939188e-07,0.007378733416467549,0.007378882268462958
0.00042000000000000045,1955795.3429295446,572.4884368017474,2813.7722350279637,0.633519261733195,0.002485010901223279,2.525219618732735,14.093749358524015,1.5548888603625884e-07,0.007378726779576922,0.007378882268462958
0.0004300000000000005,1955805.7165275181,572.4892907448547,2813.7730899058,0.633520741537205,0.0025203688622593397,2.525232245360516,14.09380308940602,1.6232023349618373e-07,0.007378719948229462,0.007378882268462958
0.0004400000000000005,1955816.3874925731,572.4901689940789,2813.7739694672005,0.6335222639632843,0.002555726863887444,2.525245233772583,14.093858364611776,1.6934885012892482e-07,0.007378712919612829,0.007378882268462958
0.00045000000000000053,1955827.3600309768,572.491071890941,2813.7748740639013,0.633523829617558,0.0025910849072953218,2.5252585890834895,14.093915206030225,1.765775486008893e-07,0.007378705690914357,0.007378882268462958
0.00046000000000000056,1955838.6383492888,572.4919997769923,2813.775804047669,0.6335254391062226,0.0026264429936878526,2.5252723164081066,14.093973635550988,1.8400914191456376e-07,0.007378698259321043,0.007378882268462958
0.0004700000000000006,1955850.22665437,572.4929529938155,2813.7767597703023,0.6335270930355459,0.0026618011242870673,2.525286420861633,14.094033675064383,1.9164644341808028e-07,0.00737869062201954,0.007378882268462958
0.0004800000000000006,1955862.129153391,572.4939318830251,2813.77774158363,0.6335287920118713,0.0026971593003321517,2.525300907559604,14.09409534646147,1.9949226681491675e-07,0.007378682776196143,0.007378882268462958
0.0004900000000000006,1955874.3500538403,572.4949367862689,2813.778749839516,0.633530536641618,0.002732517523079447,2.5253157816178997,14.094158671634053,2.0754942617373253e-07,0.007378674719036784,0.007378882268462958
0.0005000000000000007,1955886.8935635327,572.4959680452287,2813.779784889857,0.6335323275312849,0.0027678757938024525,2.525331048152754,14.094223672474694,2.1582073593833879e-07,0.00737866644772702,0.007378882268462958
0.0005100000000000007,1955899.763890619,572.4970260016206,2813.7808470865857,0.6335341652874512,0.0028032341137918296,2.525346712280768,14.094290370876754,2.243090109378041e-07,0.007378657959452021,0.007378882268462958
0.0005200000000000007,1955912.9652435938,572.4981109971968,2813.781936781669,0.6335360505167795,0.0028385924843554026,2.525362779118915,14.0943587887344,2.330170663966952e-07,0.007378649251396562,0.007378882268462958
0.0005300000000000007,1955926.5018313054,572.4992233737461,2813.783054327113,0.6335379838260168,0.002873950906818161,2.5253792537845507,14.094428947942633,2.419477179454529e-07,0.007378640320745013,0.007378882268462958
0.0005400000000000008,1955940.3778629645,572.5003634730947,2813.784200074959,0.6335399658219987,0.002909309382522264,2.5253961413954276,14.094500870397304,2.5110378163090214e-07,0.007378631164681328,0.007378882268462958
0.0005500000000000008,1955954.5975481533,572.5015316371073,2813.7853743772876,0.6335419971116496,0.0029446679128270407,2.5254134470697003,14.094574577995147,2.604880739268996e-07,0.007378621780389031,0.007378882268462958
0.0005600000000000008,1955969.1650968348,572.5027282076882,2813.7865775862206,0.6335440783019857,0.002980026499108995,2.5254311759259362,14.094650092633787,2.701034117451142e-07,0.007378612165051213,0.007378882268462958
0.0005700000000000008,1955984.0847193627,572.5039535267821,2813.7878100539187,0.6335462100001179,0.0030153851427618065,2.525449333083129,14.094727436211768,2.799526124459441e-07,0.007378602315850512,0.007378882268462958
